,name,noun_extraction
10,스탠포드 호텔 서울,"[('깨끗', 34), ('위치', 29), ('친절', 28), ('객실', 26), ('깔끔', 23), ('직원', 22), ('괜찮', 21), ('방음', 15), ('시설', 15), ('만족', 14), ('소리', 13), ('침대', 13), ('주변', 13), ('프런트', 12), ('칫솔', 12), ('치약', 12), ('편하', 11), ('불편', 11), ('화장실', 11), ('구성비', 10), ('청결', 10), ('서비스', 10), ('컨디션', 9), ('숙박', 8), ('더블', 8), ('접근성', 8), ('상태', 8), ('비즈니스', 8), ('편안', 8), ('예약', 8), ('조용', 7), ('에어컨', 6), ('근처', 6), ('맛있', 6), ('홍대', 6), ('식당', 6), ('출장', 5), ('가격', 5), ('마음', 5), ('감사', 5), ('주말', 5), ('위생', 5), ('쾌적', 5), ('택시', 5), ('체크인', 5), ('조식', 5), ('거리', 5), ('전화', 5), ('스위트룸', 5), ('따로', 5)]"
11,신라스테이 광화문,"[('친절', 47), ('직원', 29), ('깨끗', 28), ('객실', 28), ('위치', 24), ('깔끔', 23), ('화장실', 21), ('침대', 19), ('주차', 18), ('청소', 17), ('스테이', 16), ('불편', 16), ('조식', 16), ('경치', 15), ('만족', 15), ('가격', 14), ('서비스', 14), ('예약', 13), ('컨디션', 13), ('숙박', 13), ('소리', 13), ('시설', 13), ('먼지', 12), ('교통', 11), ('에어컨', 11), ('맛있', 11), ('주변', 11), ('침구', 11), ('체크인', 11), ('괜찮', 11), ('편하', 10), ('접근성', 10), ('주차장', 10), ('사람', 9), ('프런트', 9), ('아쉽', 9), ('구성비', 9), ('조계사', 8), ('특히', 8), ('모텔', 8), ('욕조', 8), ('광화문', 8), ('패키지', 8), ('도시락', 8), ('욕실', 8), ('소음', 8), ('방음', 8), ('푹신', 8), ('근처', 8), ('상태', 7)]"
12,아만티 호텔 서울 홍대,"[('깨끗', 47), ('친절', 47), ('깔끔', 40), ('직원', 29), ('홍대', 29), ('객실', 26), ('위치', 23), ('조용', 23), ('침대', 22), ('수영장', 20), ('경치', 20), ('예약', 19), ('시설', 17), ('취소', 17), ('청결', 16), ('만족', 15), ('편하', 14), ('주차', 14), ('아쉽', 12), ('거리', 11), ('서비스', 11), ('괜찮', 11), ('방음', 11), ('소리', 11), ('불편', 10), ('근처', 10), ('접근성', 10), ('청소', 9), ('화장실', 9), ('친구', 9), ('주차장', 9), ('전화', 9), ('컨디션', 8), ('주변', 8), ('가격', 8), ('쾌적', 8), ('불가', 8), ('체크인', 7), ('교통', 7), ('침구', 7), ('감사', 7), ('고객', 6), ('센터', 6), ('더블', 6), ('남자', 5), ('오전', 5), ('사람', 5), ('이후', 5), ('욕조', 5), ('재밌', 5)]"
13,어반플레이스 강남,"[('깔끔', 31), ('친절', 28), ('깨끗', 24), ('직원', 20), ('시설', 20), ('만족', 19), ('구성비', 17), ('먼지', 16), ('청결', 16), ('위치', 14), ('괜찮', 14), ('접근성', 13), ('가격', 13), ('주변', 13), ('청소', 12), ('침대', 12), ('편의점', 12), ('불편', 11), ('수건', 11), ('조용', 10), ('레지', 10), ('오피스텔', 9), ('교통', 9), ('침구', 9), ('화장실', 9), ('객실', 9), ('저렴', 9), ('취사', 9), ('프런트', 9), ('거리', 8), ('가운', 8), ('칫솔', 8), ('편리', 8), ('주차', 8), ('요리', 8), ('치약', 7), ('샴푸', 7), ('모텔', 7), ('편의', 7), ('따로', 6), ('머리카락', 6), ('상태', 6), ('냄새', 6), ('추천', 5), ('에어컨', 5), ('비품', 5), ('근처', 5), ('시트', 5), ('얼룩', 5), ('베개', 5)]"
14,에이든 바이 베스트웨스턴 청담,"[('깔끔', 50), ('깨끗', 45), ('친절', 37), ('객실', 36), ('괜찮', 22), ('직원', 21), ('주차', 21), ('만족', 18), ('구성비', 17), ('청결', 17), ('프런트', 15), ('침대', 14), ('위치', 14), ('경치', 14), ('시설', 13), ('소리', 12), ('소음', 10), ('차비', 10), ('방음', 9), ('근처', 9), ('가격', 9), ('쾌적', 8), ('샤워', 8), ('아쉽', 8), ('화장실', 8), ('편하', 8), ('특히', 7), ('컨디션', 7), ('지하철역', 7), ('냄새', 7), ('에어컨', 7), ('서비스', 7), ('의사', 7), ('나쁘', 7), ('유료', 7), ('조식', 7), ('조용', 6), ('이상', 6), ('따로', 6), ('발레', 6), ('건물', 6), ('내부', 6), ('인테리어', 6), ('불편', 6), ('저렴', 6), ('온도', 6), ('침구', 5), ('흡연', 5), ('새벽', 5), ('체크아웃', 5)]"
15,오라카이 청계산 호텔,"[('친절', 39), ('깨끗', 38), ('시설', 33), ('깔끔', 33), ('객실', 32), ('주변', 29), ('조용', 29), ('직원', 26), ('수영장', 24), ('방음', 22), ('만족', 15), ('조식', 13), ('청결', 13), ('침대', 12), ('편의점', 12), ('근처', 10), ('서비스', 10), ('청소', 10), ('체크인', 9), ('괜찮', 9), ('위치', 9), ('쾌적', 9), ('주차', 9), ('헬스', 8), ('냄새', 8), ('에어컨', 8), ('소리', 8), ('접근성', 7), ('상태', 7), ('맛있', 7), ('아쉽', 7), ('온도', 7), ('편안', 6), ('구성비', 6), ('컨디션', 6), ('머리카락', 6), ('공기', 5), ('침구', 5), ('편하', 5), ('문제', 5), ('사우나', 5), ('등산', 5), ('푹신', 5), ('소음', 5), ('새벽', 5), ('가깝', 5), ('도심', 5), ('사람', 5), ('커피', 5), ('가족', 5)]"
16,이비스 스타일 앰배서더 서울 명동,"[('친절', 61), ('직원', 45), ('객실', 34), ('화장실', 30), ('만족', 24), ('위치', 24), ('깔끔', 23), ('가운', 20), ('소리', 20), ('깨끗', 18), ('편의점', 18), ('칫솔', 17), ('불편', 17), ('냄새', 16), ('경치', 16), ('괜찮', 16), ('청소', 16), ('주차', 15), ('루프', 15), ('구성비', 15), ('비스', 15), ('방음', 14), ('침대', 14), ('명동', 12), ('상태', 11), ('남산', 11), ('패키지', 11), ('아쉽', 11), ('접근성', 11), ('서비스', 11), ('프런트', 11), ('스테이', 11), ('체크인', 11), ('감사', 10), ('응대', 10), ('참고', 10), ('청결', 10), ('가깝', 10), ('스타일', 10), ('시설', 9), ('전반', 9), ('에어컨', 9), ('공간', 8), ('컨디션', 8), ('푹신', 8), ('배정', 8), ('요청', 8), ('옆방', 8), ('먼지', 8), ('그때', 8)]"
17,이태원 크라운 호텔,"[('친절', 33), ('위치', 29), ('가격', 27), ('시설', 24), ('깨끗', 19), ('냄새', 19), ('구성비', 19), ('괜찮', 18), ('옛날', 16), ('객실', 15), ('깔끔', 15), ('방음', 14), ('직원', 14), ('저렴', 14), ('에어컨', 12), ('칫솔', 12), ('신관', 11), ('침대', 11), ('청결', 11), ('화장실', 11), ('청소', 10), ('만족', 10), ('예약', 9), ('불편', 9), ('별관', 9), ('담배', 9), ('조용', 8), ('노후', 8), ('모텔', 8), ('치약', 8), ('소리', 7), ('상태', 7), ('추천', 7), ('나쁘', 7), ('건물', 7), ('숙박', 6), ('담배꽁초', 6), ('주차', 6), ('편하', 6), ('여관', 5), ('사람', 5), ('서비스', 5), ('가운', 5), ('티브이', 5), ('근처', 5), ('아쉽', 5), ('교통', 5), ('다르', 4), ('푹신', 4), ('프런트', 4)]"
18,페어필드 바이 메리어트 서울,"[('경치', 41), ('소리', 38), ('깔끔', 30), ('친절', 28), ('깨끗', 26), ('소음', 25), ('예약', 24), ('직원', 23), ('객실', 22), ('시설', 21), ('기차', 19), ('침대', 19), ('주차', 19), ('화장실', 19), ('파크', 18), ('청결', 18), ('체크인', 17), ('위치', 16), ('시티', 16), ('불편', 16), ('만족', 15), ('체크', 14), ('구성비', 14), ('숙박', 14), ('주변', 13), ('편하', 12), ('지하철', 11), ('접근성', 10), ('사람', 10), ('차비', 10), ('서비스', 9), ('컨디션', 9), ('프런트', 9), ('샤워실', 9), ('고층', 8), ('괜찮', 8), ('가격', 8), ('체크아웃', 8), ('선택', 8), ('조용', 7), ('고객', 7), ('근처', 6), ('전철', 6), ('교통', 6), ('공원', 6), ('가깝', 6), ('거의', 6), ('카드', 6), ('침구', 6), ('사과', 6)]"
19,호텔 더 디자이너스 홍대,"[('청소', 47), ('화장실', 39), ('욕조', 30), ('바닥', 30), ('경치', 27), ('객실', 27), ('먼지', 26), ('시설', 25), ('친절', 25), ('직원', 23), ('깔끔', 23), ('사진', 22), ('샤워', 21), ('괜찮', 21), ('모텔', 20), ('위치', 19), ('예약', 18), ('최악', 18), ('상태', 18), ('주차', 17), ('위생', 17), ('청결', 16), ('홍대', 16), ('머리카락', 15), ('세면대', 15), ('불편', 15), ('침대', 15), ('사람', 15), ('깨끗', 14), ('냄새', 14), ('소리', 13), ('구성비', 13), ('욕실', 12), ('방음', 12), ('조식', 11), ('아쉽', 10), ('우선', 10), ('서비스', 10), ('접근성', 10), ('배정', 9), ('노후', 9), ('야경', 9), ('전화', 8), ('더럽', 8), ('소파', 8), ('가깝', 8), ('가격', 8), ('만족', 8), ('얼룩', 8), ('이불', 7)]"
20,호텔 피제이 명동,"[('친절', 49), ('조식', 41), ('직원', 39), ('객실', 32), ('깨끗', 30), ('구성비', 26), ('만족', 25), ('공사', 25), ('주변', 22), ('깔끔', 21), ('침대', 19), ('주차', 18), ('시설', 18), ('주차장', 15), ('서비스', 13), ('위치', 12), ('뷔페', 12), ('괜찮', 12), ('경치', 12), ('테라스', 11), ('건물', 11), ('불편', 10), ('시끄럽', 10), ('청결', 10), ('컨디션', 10), ('상태', 9), ('남산', 9), ('아쉽', 9), ('패키지', 9), ('편하', 9), ('맛있', 9), ('체크인', 9), ('청소', 8), ('근처', 8), ('안내', 8), ('편의점', 8), ('업그레이드', 8), ('공간', 7), ('주말', 7), ('아이', 7), ('의사', 7), ('예약', 7), ('쾌적', 7), ('소음', 7), ('프런트', 7), ('복도', 7), ('정수기', 7), ('사람', 7), ('테이블', 7), ('먼지', 6)]"
21,홀리데이인 익스프레스 서울 홍대,"[('조식', 57), ('위치', 43), ('친절', 40), ('깨끗', 32), ('객실', 32), ('만족', 32), ('깔끔', 29), ('직원', 26), ('맛있', 21), ('방음', 19), ('홍대', 19), ('접근성', 17), ('소리', 16), ('시설', 15), ('가격', 14), ('옆방', 14), ('도시락', 14), ('구성비', 14), ('청결', 13), ('프런트', 13), ('경치', 13), ('서비스', 13), ('괜찮', 12), ('아쉽', 11), ('편하', 10), ('가운', 9), ('컨디션', 9), ('뷔페', 9), ('교통', 8), ('주차', 8), ('조용', 8), ('저렴', 7), ('침구', 7), ('체크인', 7), ('침대', 7), ('불편', 7), ('쾌적', 7), ('가깝', 7), ('화장실', 7), ('쇼핑몰', 7), ('배정', 7), ('숙박', 6), ('사람', 6), ('포함', 6), ('훌륭', 6), ('편의', 5), ('전반', 5), ('상태', 5), ('연결', 5), ('창문', 5)]"
